D,L,F,G,CL,C,kgf,kgf,kg/m,,
31,"7,6","3,8","4,8",,"6,4",370,65,"0,14","0,42",700
59,"11,7","5,85","6,85","13,5","10,1",890,220,"0,33","0,99",1.650
59,"13,5","6,75","7,95","15,1",,680,230,"0,41","1,23",2.050
98,"16,5","8,25","9,95",18,"14,4",1550,370,"0,64","1,92",3.200
9,"20,6","10,3",12,"22,5","18,1",2450,650,"1,04","3,12",5.200
96,"25,7","12,85","15,25","28,2","22,8",3490,900,"1,53","4,59",7.650
94,"32,5","16,25","19,25","36,6","29,3",6250,1500,"2,66","7,98",13.300
54,"39,5","19,75","22,85","44,4","35,8",9740,2300,"3,99","11,97",19.950
11,"49,8","24,9","28,9","55,8","45,4",14000,3100,"5,93","17,79",29.650
71,"53,8","26,9","31,7","60,5","48,9",18970,4100,"7,49","22,47",37.450
29,"63,7","31,85","36,85",71,"58,5",24960,5400,"10,1","30,3",50.500
46,"71,3","35,65","42,45","80,6","65,8",31450,6200,"13,45","40,35",67.250
85,78,39,"44,8","87,3","71,6",38950,7300,"16,49","49,47",82.450
81,"95,8","47,9","55,5","106,7","87,8",56170,10100,"24,5","73,5",122.500
,,,,,,,,,"266,1",443.500
